"Colony","Month","Year","Date","NBrC","BrC","EgC","ChC","JuC","TotC","NBrB","BrB","EgB","ChB","JuB","TotB","NBrP","BrP","EgP","ChP","JuP","TotP"
"CHN",6,2003,2003-06-15,45000,0,0,0,0,45000,165000,0,0,0,0,165000,2800,0,0,0,0,2800
"CHC",6,2003,2003-06-15,0,0,0,0,0,0,102070,0,0,0,0,102070,51,0,0,0,0,51
"CHS",6,2003,2003-06-15,0,0,0,0,0,0,23000,0,0,0,0,23000,65,0,0,0,0,65
"BA",6,2003,2003-06-15,121500,0,0,0,0,121500,18800,0,0,0,0,18800,100,0,0,0,0,100
"CHN",7,2003,2003-07-15,35000,0,0,0,0,35000,177300,0,0,0,0,177300,210,90,0,0,0,300
"CHC",7,2003,2003-07-15,0,0,0,0,0,0,61775,0,0,0,0,61775,47,0,0,0,0,47
"CHS",7,2003,2003-07-15,0,0,0,0,0,0,53750,0,0,0,0,53750,206,0,0,0,0,206
"BA",7,2003,2003-07-15,130000,43875,1845,0,0,173875,35000,0,0,0,0,35000,100,0,0,0,0,100
"CHN",8,2003,2003-08-15,16450,1050,0,0,0,17500,105199,58078,0,0,0,163277,60,240,0,0,0,300
"CHC",8,2003,2003-08-15,0,0,0,0,0,0,61730,0,0,0,0,61730,37,0,0,0,0,37
"CHS",8,2003,2003-08-15,0,0,0,0,0,0,12500,0,0,0,0,12500,0,0,0,0,0,0
"BA",8,2003,2003-08-15,120000,60000,26250,1250,0,180000,35000,0,0,0,0,35000,100,0,0,0,0,100
"CHN",9,2003,2003-09-15,95760,10640,0,0,0,106400,112875,38125,0,0,0,151000,360,840,0,0,0,1200
"CHC",9,2003,2003-09-15,0,0,0,0,0,0,61524,0,0,0,0,61524,31,0,0,0,0,31
"CHS",9,2003,2003-09-15,0,0,0,0,0,0,15000,0,0,0,0,15000,20,0,0,0,0,20
"BA",9,2003,2003-09-15,55000,75000,1850,30000,0,130000,20000,0,0,0,0,20000,100,0,0,0,0,100
"CHN",10,2003,2003-10-15,115934,11466,573,0,0,127400,46645,2455,0,0,0,49100,180,120,0,0,0,300
"CHC",10,2003,2003-10-15,20000,0,0,0,0,20000,61786,0,0,0,0,61786,23,0,0,0,0,23
"CHS",10,2003,2003-10-15,0,0,0,0,0,0,13000,0,0,0,0,13000,25,0,0,0,0,25
"BA",10,2003,2003-10-15,35000,75000,0,30000,1250,110000,7000,0,0,0,0,7000,100,0,0,0,0,100
"CHN",11,2003,2003-11-15,21000,280,0,140,0,21280,93342,105250,10828,0,0,198592,240,60,0,0,0,300
"CHC",11,2003,2003-11-15,48000,0,0,0,0,48000,28840,24478,26995,0,0,53318,10,0,0,0,0,10
"CHS",11,2003,2003-11-15,0,0,0,0,0,0,30350,4650,5180,0,0,35000,16,0,0,0,0,16
"BA",11,2003,2003-11-15,40000,60000,0,7500,17500,100000,4100,0,0,0,0,4100,0,0,0,0,0,0
"CHN",12,2003,2003-12-15,10500,140,0,70,0,10640,121146,77454,36187,4020,0,198600,600,1400,840,0,0,2000
"CHC",12,2003,2003-12-15,0,0,0,0,0,0,8178,3502,42,3460,0,11680,27,0,0,0,0,27
"CHS",12,2003,2003-12-15,20000,0,0,0,0,20000,10500,72200,47970,5180,5180,82700,22,0,0,0,0,22
"BA",12,2003,2003-12-15,40000,51000,18750,8750,0,91000,5000,10000,5000,0,0,15000,0,0,0,0,0,0
"CHN",1,2004,2004-01-15,14000,140,0,0,70,14140,48770,540,0,1080,0,49310,250,0,0,0,0,250
"CHC",1,2004,2004-01-15,0,0,0,0,0,0,40730,800,800,0,0,41530,13,0,0,0,0,13
"CHS",1,2004,2004-01-15,0,0,0,0,0,0,2200,3200,0,3350,0,5400,15,0,0,1800,0,15
"BA",1,2004,2004-01-15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CHN",2,2004,2004-02-15,700,0,0,0,0,700,80175,325,0,650,0,80500,2500,0,0,0,0,2500
"CHC",2,2004,2004-02-15,40000,0,0,0,0,40000,101510,796,696,0,0,102306,191,0,0,0,0,191
"CHS",2,2004,2004-02-15,0,0,0,0,0,0,3700,2200,0,4400,0,5900,55,0,0,0,0,55
"BA",2,2004,2004-02-15,78400,21000,3750,6250,0,99400,90000,5000,0,5000,0,95000,120,0,0,0,0,120
"CHN",3,2004,2004-03-15,30000,0,0,0,0,30000,106140,325,0,0,650,106465,650,0,0,0,0,650
"CHC",3,2004,2004-03-15,0,0,0,0,0,0,73590,796,0,796,0,74386,23,0,0,0,0,23
